Designator,Mid X,Mid Y,Rotation,Layer
C1,101.6175,-50.39,270.0,top
C10,108.88,-50.52,0.0,top
C11,110.5,-41.0,0.0,top
C12,110.5,-40.0,0.0,top
C13,111.9,-47.8,270.0,top
C14,156.69,-45.76,0.0,top
C15,141.5675,-49.17,270.0,top
C16,58.5,-43.5,180.0,top
C17,58.5,-45.5,180.0,top
C18,116.055,-47.85,180.0,top
C19,116.07,-46.31,180.0,top
C2,103.5,-46.98,270.0,top
C20,116.065,-44.79,180.0,top
C21,121.7,-77.02,180.0,top
C22,122.0,-75.5,0.0,top
C23,98.415,-39.2325,180.0,top
C24,98.105,-33.0225,180.0,top
C25,95.565,-37.0725,90.0,top
C3,95.443778,-50.283225,270.0,top
C4,95.45,-46.825,270.0,top
C5,177.03,-29.335,90.0,top
C7,107.52,-53.0,0.0,top
C8,102.98,-48.5,0.0,top
C9,108.92,-51.68,0.0,top
D1,148.276528,-48.447164,270.0,top
D2,182.15,-33.0,180.0,top
D3,183.53,-26.46,0.0,top
J1,42.35,-83.115,180.0,top
J11,67.0,-90.0,0.0,top
J12,65.0,-38.0,0.0,top
J13,78.5,-38.0,0.0,top
J14,65.0,-30.0,0.0,top
J15,185.0,-58.865836,90.0,top
J16,187.0,-31.0,90.0,top
J2,185.0,-90.0,180.0,top
J3,184.95,-77.0,180.0,top
J4,33.95,-52.86,270.0,top
J5,42.33102,-35.192339,180.0,top
J6,164.76,-85.35,270.0,top
J7,142.005,-85.35,270.0,top
J8,120.9,-86.925,0.0,top
J9,80.5,-31.0,180.0,top
MK1,107.05,-88.5,0.0,top
Q1,177.4375,-33.055,0.0,top
R1,107.23,-39.51,270.0,top
R10,41.01,-60.5,0.0,top
R11,111.0,-84.825,270.0,top
R12,101.99,-43.54,0.0,top
R13,101.99,-44.68,0.0,top
R14,180.14,-26.46,180.0,top
R16,118.73,-77.5,180.0,top
R17,177.2,-35.92,0.0,top
R18,183.77,-29.075,90.0,top
R2,106.14,-39.51,270.0,top
R3,105.05,-39.51,270.0,top
R4,103.92,-39.51,270.0,top
R5,102.87,-39.51,270.0,top
R6,146.34,-48.46,270.0,top
R7,187.5,-70.5,0.0,top
R8,184.825,-83.5,180.0,top
R9,41.01,-62.0,0.0,top
SW1,183.5,-43.0,90.0,top
U1,98.75842,-50.53552,180.0,top
U10,92.5,-58.505025,0.0,top
U11,129.5,-58.540025,0.0,top
U12,166.5,-58.505025,0.0,top
U2,98.77,-46.95,180.0,top
U3,108.16,-44.95,180.0,top
U4,153.7183,-48.59,0.0,top
U5,138.77,-48.69,180.0,top
U6,144.77,-34.53,0.0,top
U7,97.93,-36.4225,90.0,top
U8,180.3925,-29.155,180.0,top
U9,55.5,-58.505025,0.0,top
U13,55.5,-58.505025,0.0,top
U14,92.5,-58.505025,0.0,top
U15,129.5,-58.540025,0.0,top
U16,166.5,-58.505025,0.0,top